date,dam,rtm
2022-01-01 00:00:00,33.41,53.94
2022-01-01 01:00:00,25.22,125.73
2022-01-01 02:00:00,22.91,42.02
2022-01-01 03:00:00,18.41,35.75
2022-01-01 04:00:00,12.19,32.87
2022-01-01 05:00:00,14.92,31.65
2022-01-01 06:00:00,16.0,33.97
2022-01-01 07:00:00,17.0,31.3
2022-01-01 08:00:00,17.39,29.91
2022-01-01 09:00:00,18.63,25.11
2022-01-01 10:00:00,20.86,23.62
2022-01-01 11:00:00,24.44,23.52
2022-01-01 12:00:00,25.02,23.39
2022-01-01 13:00:00,25.88,22.74
2022-01-01 14:00:00,25.28,22.31
2022-01-01 15:00:00,23.59,21.23
2022-01-01 16:00:00,29.0,8.58
2022-01-01 17:00:00,41.49,13.12
2022-01-01 18:00:00,29.11,20.4
2022-01-01 19:00:00,26.11,21.69
2022-01-01 20:00:00,23.36,22.15
2022-01-01 21:00:00,23.29,15.64
2022-01-01 22:00:00,24.38,2.37
2022-01-01 23:00:00,23.79,13.93
2022-01-02 00:00:00,26.63,7.52
2022-01-02 01:00:00,24.79,4.02
2022-01-02 02:00:00,23.85,14.66
2022-01-02 03:00:00,22.81,19.73
2022-01-02 04:00:00,23.59,19.69
2022-01-02 05:00:00,25.76,9.06
2022-01-02 06:00:00,30.29,1.9
2022-01-02 07:00:00,38.11,14.13
2022-01-02 08:00:00,46.77,20.59
2022-01-02 09:00:00,37.65,19.66
2022-01-02 10:00:00,35.47,0.88
2022-01-02 11:00:00,35.0,-0.04
2022-01-02 12:00:00,31.33,-0.07
2022-01-02 13:00:00,27.45,-0.07
2022-01-02 14:00:00,26.33,1.14
2022-01-02 15:00:00,25.84,4.43
2022-01-02 16:00:00,31.4,20.4
2022-01-02 17:00:00,84.63,21.38
2022-01-02 18:00:00,98.07,22.36
2022-01-02 19:00:00,72.65,22.22
2022-01-02 20:00:00,62.24,22.38
2022-01-02 21:00:00,48.31,22.34
2022-01-02 22:00:00,39.26,22.42
2022-01-02 23:00:00,36.75,23.54
2022-01-03 00:00:00,31.01,23.98
2022-01-03 01:00:00,30.45,22.92
2022-01-03 02:00:00,30.03,24.93
2022-01-03 03:00:00,29.65,26.94
2022-01-03 04:00:00,31.03,25.1
2022-01-03 05:00:00,40.43,24.67
2022-01-03 06:00:00,96.58,26.69
2022-01-03 07:00:00,101.16,27.53
2022-01-03 08:00:00,47.62,26.33
2022-01-03 09:00:00,34.68,26.2
2022-01-03 10:00:00,29.38,26.94
2022-01-03 11:00:00,27.53,26.26
2022-01-03 12:00:00,26.67,23.56
2022-01-03 13:00:00,25.13,24.12
2022-01-03 14:00:00,24.17,27.51
